iter	MultiClass
0	1.023486029
1	0.9547000872
2	0.889115388
3	0.830097827
4	0.778452737
5	0.7367693411
6	0.6924878051
7	0.6581333436
8	0.6209532119
9	0.595702399
10	0.5663022425
11	0.5405636844
12	0.5166589681
13	0.492969777
14	0.4719627077
15	0.4549802198
16	0.4357505402
17	0.4163226608
18	0.3994799882
19	0.3863549897
20	0.3702723263
21	0.3556607161
22	0.3401555113
23	0.3272946354
24	0.3161335531
25	0.3028648642
26	0.2924506597
27	0.2818712694
28	0.2721830704
29	0.2638106662
30	0.2530449554
31	0.2463947315
32	0.2400618718
33	0.2332985415
34	0.2248204094
35	0.2176749883
36	0.213159781
37	0.2060096738
38	0.2008497528
39	0.1962801835
40	0.1907119736
41	0.186409967
42	0.1814704609
43	0.1773590732
44	0.1739682757
45	0.1685323989
46	0.1641900517
47	0.1605565668
48	0.1559214699
49	0.1519129242
50	0.1482072925
51	0.1448540043
52	0.141881507
53	0.1390647746
54	0.1364805811
55	0.1334739532
56	0.1303655201
57	0.1279924075
58	0.1257690768
59	0.1230798293
60	0.1213228198
61	0.1190198135
62	0.1163964186
63	0.1144631988
64	0.1129876795
65	0.110834556
66	0.1090476627
67	0.1071741591
68	0.105240473
69	0.103681152
70	0.1020938245
71	0.1004391015
72	0.09846426314
73	0.09726320121
74	0.09601115185
75	0.09465334563
76	0.09339713998
77	0.09214135798
78	0.09068997905
79	0.08947589152
80	0.08811707189
81	0.08690024536
82	0.08570614547
83	0.08457358425
84	0.08319871308
85	0.08189786559
86	0.08054607
87	0.07914678831
88	0.07791425501
89	0.07677319557
90	0.07580916554
91	0.0748103646
92	0.07383960051
93	0.07284614626
94	0.07194055713
95	0.07107650205
96	0.06991514906
97	0.06900013745
98	0.06822915011
99	0.06734314675
100	0.06638720652
101	0.06557613184
102	0.06487621135
103	0.0640794143
104	0.06342603299
105	0.06258257691
106	0.0620516825
107	0.0612095255
108	0.0604916224
109	0.0596865391
110	0.05890365445
111	0.0584942276
112	0.05782255247
113	0.05718943259
114	0.05662801704
115	0.05587396749
116	0.05524521585
117	0.05456948541
118	0.05383128779
119	0.05318403532
120	0.05269094341
121	0.05211139494
122	0.0515947903
123	0.05109717424
124	0.05057597251
125	0.05008951388
126	0.04965152045
127	0.04920821796
128	0.04878485709
129	0.04824165757
130	0.04781804107
131	0.04739319051
132	0.04689478785
133	0.04647071091
134	0.04598623471
135	0.0456440041
136	0.04521560561
137	0.04485218644
138	0.04449905926
139	0.0441850178
140	0.04369968265
141	0.04327292937
142	0.04292658525
143	0.04261115142
144	0.04231523784
145	0.04196848764
146	0.0415749934
147	0.04116229417
148	0.0408294895
149	0.04050416954
150	0.04010530668
151	0.03977762742
152	0.03953422532
153	0.03921122152
154	0.03885927141
155	0.03844439104
156	0.03814770154
157	0.0378266157
158	0.03754998236
159	0.0372773358
160	0.03701595819
161	0.03670966733
162	0.03645739896
163	0.03624127971
164	0.03593054749
165	0.03568133393
166	0.0353515172
167	0.03513908005
168	0.03489322288
169	0.03460584263
170	0.03442061958
171	0.03415874043
172	0.03393833574
173	0.03372812117
174	0.03351846196
175	0.03329152754
176	0.03302802261
177	0.03275308801
178	0.03248764392
179	0.03223837925
180	0.03202518897
181	0.03180099296
182	0.03158460523
183	0.03142170708
184	0.0311740562
185	0.03099986893
186	0.03079399353
187	0.03056744167
188	0.0303622327
189	0.03019605546
190	0.03002227443
191	0.029841769
192	0.02967492298
193	0.0294695393
194	0.02927856749
195	0.02908110694
196	0.02889755428
197	0.02872946691
198	0.02859430219
199	0.02840754711
200	0.02821631961
201	0.02804772742
202	0.02785362396
203	0.02763966043
204	0.02748846398
205	0.02732860437
206	0.02718749002
207	0.02705624776
208	0.02686802235
209	0.0266993013
210	0.02653319927
211	0.02641550112
212	0.02624071345
213	0.02611585671
214	0.02595508797
215	0.02579870622
216	0.025662577
217	0.02550994004
218	0.02536775248
219	0.02522885843
220	0.02506729867
221	0.02495900092
222	0.02483959644
223	0.02473644162
224	0.02460931975
225	0.02446717977
226	0.02431678973
227	0.02416232907
228	0.02405887019
229	0.02395619177
230	0.02383655687
231	0.02370920134
232	0.02356624379
233	0.02346495247
234	0.02333237372
235	0.02317288374
236	0.02305720601
237	0.02295420257
238	0.02284643962
239	0.02272774832
240	0.02263730728
241	0.02254574707
242	0.02239805888
243	0.02228412034
244	0.02217254736
245	0.02206833477
246	0.02197717583
247	0.02186136377
248	0.02176351814
249	0.02166370348
250	0.02156168346
251	0.02146750028
252	0.02137213556
253	0.02126052495
254	0.02116910109
255	0.02107867567
256	0.02096982236
257	0.02086162413
258	0.02075668821
259	0.02064464206
260	0.02056915161
261	0.02049733654
262	0.02039363954
263	0.02028348783
264	0.02017507515
265	0.02010405254
266	0.01999533477
267	0.01991000619
268	0.01983148972
269	0.01976918481
270	0.01970036383
271	0.01958646662
272	0.01951450018
273	0.01940985678
274	0.0193089891
275	0.0192174393
276	0.01914797478
277	0.01907897532
278	0.0190103394
279	0.01890906919
280	0.01882188104
281	0.01875648284
282	0.01868225662
283	0.01859661785
284	0.01851383484
285	0.01843200744
286	0.01833915232
287	0.01828222283
288	0.01819245972
289	0.01814374798
290	0.01807608025
291	0.01799527354
292	0.01793956435
293	0.01786196373
294	0.01777736923
295	0.01771651024
296	0.01761696847
297	0.01755219274
298	0.01748311711
299	0.01742622966
300	0.01737274609
301	0.01729335535
302	0.0172240976
303	0.01715503909
304	0.01709814415
305	0.01703207413
306	0.01696242346
307	0.01690294182
308	0.01684182855
309	0.01676807267
310	0.01671129378
311	0.01664269388
312	0.01658003093
313	0.01652916184
314	0.01646799746
315	0.01640209448
316	0.01634519289
317	0.0162884109
318	0.01623112181
319	0.01616411178
320	0.01609131134
321	0.01602400455
322	0.01595545642
323	0.01589493428
324	0.01584717421
325	0.01577422611
326	0.01572303819
327	0.01566579143
328	0.0156240078
329	0.01555997503
330	0.01549566336
331	0.01545958061
332	0.01541928266
333	0.01536812409
334	0.01532493198
335	0.01526629874
336	0.01521962405
337	0.01516905137
338	0.0151035183
339	0.01505730318
340	0.01501367017
341	0.0149602991
342	0.01492125121
343	0.01487683538
344	0.01481905436
345	0.01477108792
346	0.01472492072
347	0.01467285205
348	0.01462984308
349	0.01458528968
350	0.01453830043
351	0.01449677057
352	0.01444483118
353	0.01441411335
354	0.01435076855
355	0.01431197787
356	0.01426383661
357	0.01421246512
358	0.01417664903
359	0.01414393272
360	0.01410270125
361	0.01404194683
362	0.01400004429
363	0.01394848303
364	0.01390908503
365	0.0138526847
366	0.01380104942
367	0.01376148336
368	0.01372188884
369	0.01368495769
